Scenario_SplHitLine(Clone)_1
time;Consigne;PlayerMvt;Hit;BPM;Ax /;Ay /;Az /;Gx /;Gy /;Gz /;Mx /;My /;Mz /;Gesture /;probability/
5,343211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,363211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,383211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,403211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,423211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,443211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,463211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,483211;89,99844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,503211;89,99844;0;True;0;0;0;0;0;0;0;0;0;0;0;0
5,523211;90,89844;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,543211;89,9983;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,563211;89,09827;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,58321;88,19814;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,603211;87,29813;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,62321;86,39813;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,643211;85,49808;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,663211;84,59808;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,683211;83,69807;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,703211;82,79808;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,723211;81,89808;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,743211;80,99802;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,763211;80,09797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,783211;79,19797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,803211;78,29797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,823211;77,39796;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,843211;76,49797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,863211;75,59797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,883211;74,69797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,903211;73,79797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,923211;72,89796;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,943211;71,99797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,963211;71,09797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
5,983211;70,19797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,003211;69,29797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
